state_code,year,indicator,value,unit,source
04,2024,unemployment_rate,11.0,percent,Bundeswahlleiterin structural data 2025
12,2023,area_km2,29654.4,km2,Bundeswahlleiterin structural data 2025
12,2023,population_thousands,2554.5,thousand_people,Bundeswahlleiterin structural data 2025
12,2023,foreign_population_share,6.9,percent,Bundeswahlleiterin structural data 2025
12,2023,population_density,86.1,people_per_km2,Bundeswahlleiterin structural data 2025
12,2023,natural_population_change,-8.1,per_1000_people,Bundeswahlleiterin structural data 2025
12,2022,net_migration,21.6,per_1000_people,Bundeswahlleiterin structural data 2025
12,2023,age_under_18_share,16.3,percent,Bundeswahlleiterin structural data 2025
12,2023,age_60_74_share,22.5,percent,Bundeswahlleiterin structural data 2025
12,2023,age_75_plus_share,12.3,percent,Bundeswahlleiterin structural data 2025
12,2021,disposable_income_per_capita,22928,eur_per_person,Bundeswahlleiterin structural data 2025
12,2021,gdp_per_capita,31787,eur_per_person,Bundeswahlleiterin structural data 2025
12,2023,employees_subject_to_social_insurance,345.8,per_1000_people,Bundeswahlleiterin structural data 2025
12,2024,social_benefit_recipients,60.6,per_1000_people,Bundeswahlleiterin structural data 2025
12,2024,unemployment_rate,6.1,percent,Bundeswahlleiterin structural data 2025
15,2023,area_km2,20554.8,km2,Bundeswahlleiterin structural data 2025
15,2023,population_thousands,2144.6,thousand_people,Bundeswahlleiterin structural data 2025
15,2023,foreign_population_share,7.1,percent,Bundeswahlleiterin structural data 2025
15,2023,population_density,104.3,people_per_km2,Bundeswahlleiterin structural data 2025
15,2023,natural_population_change,-10.3,per_1000_people,Bundeswahlleiterin structural data 2025
15,2022,net_migration,18.5,per_1000_people,Bundeswahlleiterin structural data 2025
15,2023,age_under_18_share,15.3,percent,Bundeswahlleiterin structural data 2025
15,2023,age_60_74_share,23.1,percent,Bundeswahlleiterin structural data 2025
15,2023,age_75_plus_share,13.4,percent,Bundeswahlleiterin structural data 2025
15,2021,disposable_income_per_capita,21741,eur_per_person,Bundeswahlleiterin structural data 2025
15,2021,gdp_per_capita,31381,eur_per_person,Bundeswahlleiterin structural data 2025
15,2023,employees_subject_to_social_insurance,372.6,per_1000_people,Bundeswahlleiterin structural data 2025
15,2024,social_benefit_recipients,82.7,per_1000_people,Bundeswahlleiterin structural data 2025
15,2024,unemployment_rate,7.5,percent,Bundeswahlleiterin structural data 2025
11,2023,area_km2,891.1,km2,Bundeswahlleiterin structural data 2025
11,2023,population_thousands,3662.4,thousand_people,Bundeswahlleiterin structural data 2025
11,2023,foreign_population_share,21.9,percent,Bundeswahlleiterin structural data 2025
11,2023,population_density,4109.9,people_per_km2,Bundeswahlleiterin structural data 2025
11,2023,natural_population_change,-1.2,per_1000_people,Bundeswahlleiterin structural data 2025
11,2022,net_migration,22.5,per_1000_people,Bundeswahlleiterin structural data 2025
11,2023,age_under_18_share,16.8,percent,Bundeswahlleiterin structural data 2025
11,2023,age_60_74_share,15.4,percent,Bundeswahlleiterin structural data 2025
11,2023,age_75_plus_share,9.7,percent,Bundeswahlleiterin structural data 2025
11,2021,disposable_income_per_capita,22658,eur_per_person,Bundeswahlleiterin structural data 2025
11,2021,gdp_per_capita,45074,eur_per_person,Bundeswahlleiterin structural data 2025
11,2023,employees_subject_to_social_insurance,458.7,per_1000_people,Bundeswahlleiterin structural data 2025
11,2024,social_benefit_recipients,128.2,per_1000_people,Bundeswahlleiterin structural data 2025
11,2024,unemployment_rate,9.7,percent,Bundeswahlleiterin structural data 2025
05,2023,area_km2,34112.7,km2,Bundeswahlleiterin structural data 2025
05,2023,population_thousands,18017.5,thousand_people,Bundeswahlleiterin structural data 2025
05,2023,foreign_population_share,15.5,percent,Bundeswahlleiterin structural data 2025
05,2023,population_density,528.2,people_per_km2,Bundeswahlleiterin structural data 2025
05,2023,natural_population_change,-3.9,per_1000_people,Bundeswahlleiterin structural data 2025
05,2022,net_migration,15.6,per_1000_people,Bundeswahlleiterin structural data 2025
05,2023,age_under_18_share,17.2,percent,Bundeswahlleiterin structural data 2025
05,2023,age_60_74_share,18.6,percent,Bundeswahlleiterin structural data 2025
05,2023,age_75_plus_share,10.6,percent,Bundeswahlleiterin structural data 2025
05,2021,disposable_income_per_capita,23812,eur_per_person,Bundeswahlleiterin structural data 2025
05,2021,gdp_per_capita,41440,eur_per_person,Bundeswahlleiterin structural data 2025
05,2023,employees_subject_to_social_insurance,404.1,per_1000_people,Bundeswahlleiterin structural data 2025
05,2024,social_benefit_recipients,91.4,per_1000_people,Bundeswahlleiterin structural data 2025
05,2024,unemployment_rate,7.5,percent,Bundeswahlleiterin structural data 2025
14,2023,area_km2,18449.9,km2,Bundeswahlleiterin structural data 2025
14,2023,population_thousands,4054.7,thousand_people,Bundeswahlleiterin structural data 2025
14,2023,foreign_population_share,7.7,percent,Bundeswahlleiterin structural data 2025
14,2023,population_density,219.8,people_per_km2,Bundeswahlleiterin structural data 2025
14,2023,natural_population_change,-7.9,per_1000_people,Bundeswahlleiterin structural data 2025
14,2022,net_migration,18.2,per_1000_people,Bundeswahlleiterin structural data 2025
14,2023,age_under_18_share,16.2,percent,Bundeswahlleiterin structural data 2025
14,2023,age_60_74_share,20.9,percent,Bundeswahlleiterin structural data 2025
14,2023,age_75_plus_share,13.5,percent,Bundeswahlleiterin structural data 2025
14,2021,disposable_income_per_capita,22120,eur_per_person,Bundeswahlleiterin structural data 2025
14,2021,gdp_per_capita,33330,eur_per_person,Bundeswahlleiterin structural data 2025
14,2023,employees_subject_to_social_insurance,405.4,per_1000_people,Bundeswahlleiterin structural data 2025
14,2024,social_benefit_recipients,64.6,per_1000_people,Bundeswahlleiterin structural data 2025
14,2024,unemployment_rate,6.5,percent,Bundeswahlleiterin structural data 2025
06,2023,area_km2,21115.6,km2,Bundeswahlleiterin structural data 2025
06,2023,population_thousands,6267.5,thousand_people,Bundeswahlleiterin structural data 2025
06,2023,foreign_population_share,18.1,percent,Bundeswahlleiterin structural data 2025
06,2023,population_density,296.8,people_per_km2,Bundeswahlleiterin structural data 2025
06,2023,natural_population_change,-3.1,per_1000_people,Bundeswahlleiterin structural data 2025
06,2022,net_migration,17.9,per_1000_people,Bundeswahlleiterin structural data 2025
06,2023,age_under_18_share,17.2,percent,Bundeswahlleiterin structural data 2025
06,2023,age_60_74_share,18.1,percent,Bundeswahlleiterin structural data 2025
06,2023,age_75_plus_share,10.5,percent,Bundeswahlleiterin structural data 2025
06,2021,disposable_income_per_capita,25023,eur_per_person,Bundeswahlleiterin structural data 2025
06,2021,gdp_per_capita,48190,eur_per_person,Bundeswahlleiterin structural data 2025
06,2023,employees_subject_to_social_insurance,437.0,per_1000_people,Bundeswahlleiterin structural data 2025
06,2024,social_benefit_recipients,69.1,per_1000_people,Bundeswahlleiterin structural data 2025
06,2024,unemployment_rate,5.5,percent,Bundeswahlleiterin structural data 2025
16,2023,area_km2,16202.4,km2,Bundeswahlleiterin structural data 2025
16,2023,population_thousands,2114.9,thousand_people,Bundeswahlleiterin structural data 2025
16,2023,foreign_population_share,8.0,percent,Bundeswahlleiterin structural data 2025
16,2023,population_density,130.5,people_per_km2,Bundeswahlleiterin structural data 2025
16,2023,natural_population_change,-8.6,per_1000_people,Bundeswahlleiterin structural data 2025
16,2022,net_migration,17.4,per_1000_people,Bundeswahlleiterin structural data 2025
16,2023,age_under_18_share,15.5,percent,Bundeswahlleiterin structural data 2025
16,2023,age_60_74_share,22.9,percent,Bundeswahlleiterin structural data 2025
16,2023,age_75_plus_share,13.0,percent,Bundeswahlleiterin structural data 2025
16,2021,disposable_income_per_capita,21803,eur_per_person,Bundeswahlleiterin structural data 2025
16,2021,gdp_per_capita,31413,eur_per_person,Bundeswahlleiterin structural data 2025
16,2023,employees_subject_to_social_insurance,378.1,per_1000_people,Bundeswahlleiterin structural data 2025
16,2024,social_benefit_recipients,59.3,per_1000_people,Bundeswahlleiterin structural data 2025
16,2024,unemployment_rate,6.0,percent,Bundeswahlleiterin structural data 2025
07,2023,area_km2,19858.0,km2,Bundeswahlleiterin structural data 2025
07,2023,population_thousands,4125.2,thousand_people,Bundeswahlleiterin structural data 2025
07,2023,foreign_population_share,13.6,percent,Bundeswahlleiterin structural data 2025
07,2023,population_density,207.7,people_per_km2,Bundeswahlleiterin structural data 2025
07,2023,natural_population_change,-4.1,per_1000_people,Bundeswahlleiterin structural data 2025
07,2022,net_migration,17.0,per_1000_people,Bundeswahlleiterin structural data 2025
