election_date,state_code,party,votes,vote_share_percent,previous_votes,previous_vote_share_percent,change_percentage_points
2025-02-23,14,Bündnis C,,,7129,0.289456,-0.289456
2025-02-23,14,BüSo,,,,,
2025-02-23,14,Team Todenhöfer,,,6229,0.252914,-0.252914
2025-02-23,14,ÖDP,,,6056,0.245889,-0.245889
2025-02-23,14,Verjüngungsforschung,,,12052,0.489342,-0.489342
2025-02-23,06,SPD,657510,18.361924,910035,27.570051,-9.208127
2025-02-23,06,CDU,1033842,28.871542,753512,22.828094,6.043449
2025-02-23,06,GRÜNE,451510,12.609074,521411,15.796456,-3.187382
2025-02-23,06,FDP,180823,5.049745,421621,12.773259,-7.723513
2025-02-23,06,AfD,636778,17.782952,290978,8.815351,8.967601
2025-02-23,06,Die Linke,311058,8.686747,142585,4.319697,4.36705
2025-02-23,06,FREIE WÄHLER,46567,1.300451,56155,1.701249,-0.400798
2025-02-23,06,Tierschutzpartei,44516,1.243174,49047,1.485908,-0.242734
2025-02-23,06,Die PARTEI,18111,0.505776,29569,0.89581,-0.390034
2025-02-23,06,Volt,31542,0.880856,19268,0.583736,0.297121
2025-02-23,06,PdH,3014,0.08417,3551,0.10758,-0.023409
2025-02-23,06,MLPD,1170,0.032674,906,0.027448,0.005226
2025-02-23,06,BÜNDNIS DEUTSCHLAND,5740,0.160298,,,
2025-02-23,06,BSW,158653,4.430616,,,
2025-02-23,06,dieBasis,,,43106,1.305922,-1.305922
2025-02-23,06,Bündnis C,,,4412,0.133664,-0.133664
2025-02-23,06,BüSo,,,,,
2025-02-23,06,Team Todenhöfer,,,21897,0.663383,-0.663383
2025-02-23,06,ÖDP,,,3683,0.111579,-0.111579
2025-02-23,06,Verjüngungsforschung,,,4891,0.148176,-0.148176
2025-02-23,06,PIRATEN,,,13152,0.398448,-0.398448
2025-02-23,16,AfD,510527,38.554782,303233,23.972675,14.582107
2025-02-23,16,SPD,115915,8.753851,296446,23.436115,-14.682264
2025-02-23,16,CDU,246065,18.582724,213414,16.871859,1.710865
2025-02-23,16,Die Linke,200688,15.155872,144693,11.438987,3.716886
2025-02-23,16,FDP,37292,2.816276,114283,9.034865,-6.218589
2025-02-23,16,GRÜNE,56097,4.236422,83220,6.579119,-2.342697
2025-02-23,16,FREIE WÄHLER,20621,1.557289,27151,2.146475,-0.589186
2025-02-23,16,Volt,6998,0.528486,3566,0.281917,0.246569
2025-02-23,16,MLPD,1743,0.131631,2570,0.203176,-0.071546
2025-02-23,16,BÜNDNIS DEUTSCHLAND,3454,0.260845,,,
2025-02-23,16,BSW,124760,9.421822,,,
2025-02-23,16,dieBasis,,,20189,1.596081,-1.596081
2025-02-23,16,Team Todenhöfer,,,2501,0.197721,-0.197721
2025-02-23,16,MENSCHLICHE WELT,,,3400,0.268794,-0.268794
2025-02-23,16,ÖDP,,,2456,0.194164,-0.194164
2025-02-23,16,PdH,,,1357,0.10728,-0.10728
2025-02-23,16,Die PARTEI,,,16013,1.265939,-1.265939
2025-02-23,16,Tierschutzpartei,,,18973,1.499947,-1.499947
2025-02-23,16,PIRATEN,,,6291,0.497347,-0.497347
2025-02-23,07,SPD,462705,18.639737,685534,29.369724,-10.729987
2025-02-23,07,CDU,760623,30.641148,576533,24.699891,5.941257
2025-02-23,07,GRÜNE,256869,10.347782,293135,12.558522,-2.21074
2025-02-23,07,FDP,114047,4.594301,272451,11.672376,-7.078075
2025-02-23,07,AfD,498695,20.089568,215205,9.219837,10.869731
2025-02-23,07,FREIE WÄHLER,52013,2.095306,84396,3.615703,-1.520397
2025-02-23,07,Die Linke,161867,6.520695,76123,3.26127,3.259425
2025-02-23,07,Tierschutzpartei,31542,1.270647,35759,1.531991,-0.261344
2025-02-23,07,Die PARTEI,11454,0.461416,20844,0.893001,-0.431585
2025-02-23,07,Volt,18846,0.759198,11110,0.475976,0.283222
2025-02-23,07,ÖDP,4139,0.166737,5661,0.242529,-0.075793
2025-02-23,07,MLPD,571,0.023002,469,0.020093,0.002909
2025-02-23,07,BÜNDNIS DEUTSCHLAND,3884,0.156464,,,
2025-02-23,07,BSW,105103,4.233998,,,
2025-02-23,07,dieBasis,,,28719,1.230383,-1.230383
2025-02-23,07,Team Todenhöfer,,,8578,0.3675,-0.3675
2025-02-23,07,PdH,,,2284,0.097851,-0.097851
2025-02-23,07,PIRATEN,,,9530,0.408285,-0.408285
2025-02-23,09,CSU,2964028,37.18023,2402827,31.735935,5.444294
2025-02-23,09,SPD,920675,11.54878,1361242,17.978942,-6.430162
2025-02-23,09,GRÜNE,957435,12.009891,1067830,14.10363,-2.093739
2025-02-23,09,FDP,333257,4.180315,798591,10.547589,-6.367274
2025-02-23,09,AfD,1515731,19.013055,679915,8.980147,10.032908
2025-02-23,09,FREIE WÄHLER,345840,4.338154,566880,7.487209,-3.149054
2025-02-23,09,Die Linke,456935,5.73171,210838,2.784695,2.947014
2025-02-23,09,dieBasis,28843,0.361801,131988,1.743264,-1.381463
2025-02-23,09,Tierschutzpartei,61869,0.776074,80911,1.068652,-0.292579
2025-02-23,09,Die PARTEI,30552,0.383239,53876,0.711581,-0.328342
2025-02-23,09,ÖDP,33367,0.41855,51124,0.675233,-0.256683
2025-02-23,09,BP,12278,0.154013,32790,0.433082,-0.279069
