year,state_code,foreign_population_count,source_register
2020,15,119845,Central Register of Foreigners (AZR)
2021,15,127670,Central Register of Foreigners (AZR)
2022,15,169220,Central Register of Foreigners (AZR)
2023,15,181370,Central Register of Foreigners (AZR)
2024,15,189100,Central Register of Foreigners (AZR)
2025,15,192155,Central Register of Foreigners (AZR)
2018,16,108785,Central Register of Foreigners (AZR)
2019,16,114625,Central Register of Foreigners (AZR)
2020,16,117130,Central Register of Foreigners (AZR)
2021,16,126270,Central Register of Foreigners (AZR)
2022,16,165840,Central Register of Foreigners (AZR)
2023,16,180850,Central Register of Foreigners (AZR)
2024,16,187765,Central Register of Foreigners (AZR)
2025,16,187990,Central Register of Foreigners (AZR)
